Sim,,,,,,,
,,Sim,,PREENCHER,PREENCHER,PREENCHER,NAO PREENCHER!
,Tarefa,Assunto,Tipo de Tarefa,Realizada?,Questões Feitas,Acertos,% Acertos
,88,Desenvolvimento Neuropsicomotor,Teoria I,,,,#DIV/0!
,89,Desenvolvimento Neuropsicomotor,Teoria II,,,,#DIV/0!
,90,Desenvolvimento Neuropsicomotor,Teoria III,,,,#DIV/0!
,91,Desenvolvimento Neuropsicomotor,Revisão,,,,#DIV/0!
,92,Infecções Congênitas,Teoria I,,,,#DIV/0!
,93,Infecções Congênitas,Teoria II,,,,#DIV/0!
,94,Infecções Congênitas,Revisão,,,,#DIV/0!
,95,Fibrose Cística,Teoria,,,,#DIV/0!
,96,Fibrose Cística,Revisão,,,,#DIV/0!
,97,"Distúrbios Respiratórios do Período Neonatal
Desenvolvimento Neuropsicomotor
Infecções Congênitas
Fibrose Cística",Revisão por Questões,,,,#DIV/0!
,Total,,,9,243,203,"83,54%"
